T,Genjyo,Suggested
89,6.3880936878194,6.3880936878194
90,6.42835885350675,6.42835885350675
91,6.47020968171579,6.47020968171579
92,6.51363009890255,6.51363009890255
93,6.55860441167517,6.55860441167517
94,6.60511729345101,6.60511729345101
95,6.65315377172504,6.65315377172504
96,6.68158148560461,6.68158148560461
97,6.71161300141924,6.71161300141924
98,6.74323266337478,6.74323266337478
99,6.77642516668739,6.77642516668739
100,6.81117554594912,6.81117554594912
101,6.84746916399611,6.84746916399611
102,6.88529170125309,6.88529170125309
103,6.92462914552897,6.92462914552897
104,6.96546778224031,6.96546778224031
105,7.0077941850406,7.0077941850406
106,7.05159520683479,7.05159520683479
107,7.09685797115956,7.09685797115956
108,7.12365987683673,7.12365987683673
109,7.15199009191023,7.15199009191023
110,7.18183525234841,7.18183525234841
111,7.21318226182396,7.21318226182396
112,7.24601828378528,7.24601828378528
113,7.28033073383425,7.28033073383425
114,7.31610727239578,7.31610727239578
115,7.3533357976655,7.3533357976655
116,7.39200443882274,7.39200443882274
117,7.43210154949633,7.43210154949633
118,7.47361570147202,7.47361570147202
119,7.51653567863025,7.51653567863025
120,7.54196219890211,7.54196219890211
121,7.56885093788671,7.56885093788671
122,7.59719031791595,7.59719031791595
123,7.62696897089914,7.62696897089914
124,7.65817573271337,7.65817573271337
125,7.69079963778987,7.69079963778987
126,7.72482991388788,7.72482991388788
127,7.76025597704823,7.76025597704823
128,7.79706742671893,7.79706742671893
129,7.83525404104556,7.83525404104556
130,7.87480577231982,7.87480577231982
131,7.9157127425794,7.9157127425794
132,7.93995597843331,7.93995597843331
133,7.96560302143895,7.96560302143895
134,7.99264371716184,7.99264371716184
135,8.02106807882309,8.02106807882309
136,8.05086628320584,8.05086628320584
137,8.08202866669238,8.08202866669238
138,8.11454572142655,8.11454572142655
139,8.14840809159672,8.14840809159672
140,8.1836065698347,8.1836065698347
141,8.22013209372611,8.22013209372611
142,8.25797574242787,8.25797574242787
143,8.29712873338902,8.29712873338902
144,8.32033986457529,8.32033986457529
145,8.34490273512331,8.34490273512331
146,8.37080834568792,8.37080834568792
147,8.3980478334986,8.3980478334986
148,8.42661246929412,8.42661246929412
149,8.45649365434706,8.45649365434706
150,8.48768291757494,8.48768291757494
151,8.52017191273492,8.52017191273492
152,8.55395241569908,8.55395241569908
153,8.58901632180746,8.58901632180746
154,8.62535564329606,8.62535564329606
155,8.66296250679731,8.66296250679731
156,8.68526304030482,8.68526304030482
157,8.70886854522066,8.70886854522066
158,8.73377097458894,8.73377097458894
159,8.75996239444038,8.75996239444038
160,8.78743498144581,8.78743498144581
161,8.81618102063341,8.81618102063341
162,8.84619290316748,8.84619290316748
163,8.8774631241867,8.8774631241867
164,8.90998428069999,8.90998428069999
165,8.94374906953808,8.94374906953808
166,8.97875028535886,8.97875028535886
167,9.01498081870492,9.01498081870492
168,9.03647015049563,9.03647015049563
169,9.05922216040568,9.05922216040568
170,9.08322959750998,9.08322959750998
171,9.10848530560656,9.10848530560656
172,9.13498222138621,9.13498222138621
173,9.16271337264825,9.16271337264825
174,9.19167187656122,9.19167187656122
175,9.22185093796689,9.22185093796689
176,9.25324384772641,9.25324384772641
177,9.28584398110724,9.28584398110724
178,9.31964479620967,9.31964479620967
179,9.35463983243169,9.35463983243169
180,9.37540049929855,9.37540049929855
181,9.3973853658145,9.3973853658145
182,9.42058785433368,9.42058785433368
183,9.44500146754543,9.44500146754543
184,9.47061978702279,9.47061978702279
185,9.4974364718054,9.4974364718054
186,9.52544525701558,9.52544525701558
187,9.5546399525068,9.5546399525068
188,9.58501444154355,9.58501444154355
189,9.61656267951171,9.61656267951171
190,9.64927869265857,9.64927869265857
191,9.68315657686161,9.68315657686161
192,9.70325800611949,9.70325800611949
193,9.72454843774227,9.72454843774227
194,9.74702186949883,9.74702186949883
195,9.77067236798544,9.77067236798544
196,9.79549406745809,9.79549406745809
197,9.82148116869087,9.82148116869087
198,9.84862793785934,9.84862793785934
199,9.87692870544861,9.87692870544861
200,9.87692870544861,9.87692870544861
