T,Genjyo,Suggested
89,11.6854559859505,6.3880936878194
90,11.7693417477991,6.42835885350675
91,11.8527653256245,6.47020968171579
92,11.9357342756629,6.51363009890255
93,12.018255950475,6.55860441167517
94,12.10033750655,6.60511729345101
95,12.1819859115484,6.65315377172504
96,12.2632079512043,6.68158148560461
97,12.3440102359073,6.71161300141924
98,12.4243992069807,6.74323266337478
99,12.5043811426738,6.77642516668739
100,12.5839621638838,6.81117554594912
101,12.6631482396227,6.84746916399611
102,12.7419451922414,6.88529170125309
103,12.8203587024259,6.92462914552897
104,12.8983943139762,6.96546778224031
105,12.9760574383804,7.0077941850406
106,13.0533533591937,7.05159520683479
107,13.130287236233,7.09685797115956
108,13.2068641095963,7.12365987683673
109,13.2830889035161,7.15199009191023
110,13.3589664300538,7.18183525234841
111,13.4345013926455,7.21318226182396
112,13.5096983895035,7.24601828378528
113,13.584561916883,7.28033073383425
114,13.6590963722196,7.31610727239578
115,13.7333060571426,7.3533357976655
116,13.807195180373,7.39200443882274
117,13.880767860508,7.43210154949633
118,13.9540281287004,7.47361570147202
119,14.0269799312356,7.51653567863025
120,14.0996271320124,7.54196219890211
121,14.1719735149306,7.56885093788671
122,14.2440227861914,7.59719031791595
123,14.3157785765123,7.62696897089914
124,14.3872444432625,7.65817573271337
125,14.4584238725203,7.69079963778987
126,14.5293202810578,7.72482991388788
127,14.5999370182545,7.76025597704823
128,14.6702773679438,7.79706742671893
129,14.7403445501945,7.83525404104556
130,14.8101417230314,7.87480577231982
131,14.8796719840958,7.9157127425794
132,14.9489383722499,7.93995597843331
133,15.017943869126,7.96560302143895
134,15.0866914006249,7.99264371716184
135,15.1551838383628,8.02106807882309
136,15.2234240010714,8.05086628320584
137,15.2914146559512,8.08202866669238
138,15.3591585199807,8.11454572142655
139,15.4266582611837,8.14840809159672
140,15.493916499855,8.1836065698347
141,15.5609358097475,8.22013209372611
142,15.6277187192211,8.25797574242787
143,15.6942677123563,8.29712873338902
144,15.7605852300313,8.32033986457529
145,15.8266736709677,8.34490273512331
146,15.8925353927421,8.37080834568792
147,15.9581727127678,8.3980478334986
148,16.0235879092461,8.42661246929412
149,16.0887832220889,8.45649365434706
150,16.1537608538137,8.48768291757494
151,16.2185229704116,8.52017191273492
152,16.2830717021903,8.55395241569908
153,16.347409144591,8.58901632180746
154,16.4115373589826,8.62535564329606
155,16.4754583734324,8.66296250679731
156,16.5391741834538,8.68526304030482
157,16.6026867527341,8.70886854522066
158,16.6659980138399,8.73377097458894
159,16.7291098689036,8.75996239444038
160,16.7920241902901,8.78743498144581
161,16.8547428212448,8.81618102063341
162,16.9172675765242,8.84619290316748
163,16.9796002430076,8.8774631241867
164,17.0417425802942,8.90998428069999
165,17.1036963212815,8.94374906953808
166,17.1654631727299,8.97875028535886
167,17.2270448158111,9.01498081870492
168,17.2884429066416,9.03647015049563
169,17.3496590768032,9.05922216040568
170,17.410694933848,9.08322959750998
171,17.4715520617916,9.10848530560656
172,17.5322320215923,9.13498222138621
173,17.5927363516186,9.16271337264825
174,17.653066568104,9.19167187656122
175,17.7132241655903,9.22185093796689
176,17.7732106173601,9.25324384772641
177,17.8330273758571,9.28584398110724
